org,max_slope,r2,intercept
Kytococcus sedentarius,1.30,0.99,-3.89
Mobilicoccus massiliensis,0.41,1.00,-6.26
Granulosicoccus antarcticus,0.39,1.00,-2.00
Thermomonas haemolytica,0.32,1.00,-4.86
Xanthomonas translucens,0.24,1.00,-4.27
Kocuria varians,0.23,1.00,-2.30
XC,0.18,1.00,-4.21
Dermabacter hominis,0.17,1.00,-4.10
Pseudoxanthomonas,0.17,1.00,-5.13
Arenimonas oryziterrae,0.16,0.99,-5.54
Intrasporangiaceae bacterium URHB0013,0.15,1.00,-4.08
Micromonospora peucetia,0.15,0.99,-4.54
Arthrobacter globiformis,0.14,1.00,-4.20
Chromatocurvus halotolerans,0.13,0.99,-4.97
Luteimonas tolerans,0.12,0.99,-4.00
Humibacillus sp. DSM 29435,0.11,0.98,-5.02
Actinoplanes atraurantiacus,0.11,0.99,-3.71
Brachybacterium alimentarium,0.09,1.00,-4.23
Silanimonas lenta,0.08,0.97,-3.58
Bacteriovorax sp. BAL6 X,0.08,0.99,-3.93
Kocuria flava,0.08,0.98,-3.55
Leifsonia sp. Leaf325,0.07,0.92,-5.31
Dermatophilus congolensis,0.06,0.94,-5.39
Auraticoccus monumenti,0.06,0.99,-3.08
Sandaracinus amylolyticus,0.06,0.94,-4.83
Enhygromyxa salina,0.05,0.91,-5.12
Halobacteriovorax marinus,0.05,0.98,-4.64
Streptomyces ambofaciens,0.05,0.93,-5.42
Microlunatus phosphovorus,0.05,0.94,-4.52
Geodermatophilus obscurus,0.04,0.90,-4.31
Cephaloticoccus capnophilus,0.04,0.96,-4.24
Sanguibacter keddieii,0.04,0.90,-5.08
Pelobacter propionicus DSM 2379,0.03,0.91,-4.33
Isoptericola variabilis,0.02,0.95,-3.16
