cmpnd,org,log_slope,mean_slope
hexanoate,Kytococcus sedentarius,2.88,1.63
hexanoate,Mobilicoccus massiliensis,2.58,1.63
hexanoate,Granulosicoccus antarcticus,2.54,1.63
hexanoate,XC,2.44,1.63
hexanoate,Luteimonas tolerans,2.25,1.63
hexanoate,Thermomonas haemolytica,2.18,1.63
hexanoate,Xanthomonas translucens,2.17,1.63
hexanoate,Chromatocurvus halotolerans,2.17,1.63
hexanoate,Arenimonas oryziterrae,2.14,1.63
hexanoate,Kocuria flava,2.09,1.63
hexanoate,Pseudoxanthomonas,2.08,1.63
hexanoate,Intrasporangiaceae bacterium URHB0013,1.95,1.63
hexanoate,Actinoplanes atraurantiacus,1.93,1.63
hexanoate,Arthrobacter globiformis,1.87,1.63
hexanoate,Silanimonas lenta,1.78,1.63
hexanoate,Auraticoccus monumenti,1.75,1.63
hexanoate,Micromonospora peucetia,1.73,1.63
hexanoate,Mycolicibacterium obuense,1.73,1.63
hexanoate,Dermabacter hominis,1.71,1.63
hexanoate,Kocuria varians,1.7,1.63
hexanoate,Halobacteriovorax marinus,1.7,1.63
hexanoate,Sediminihabitans luteus,1.67,1.63
hexanoate,Leifsonia sp. Leaf325,1.64,1.63
hexanoate,Humibacillus sp. DSM 29435,1.63,1.63
hexanoate,Dermatophilus congolensis,1.63,1.63
hexanoate,Brachybacterium alimentarium,1.63,1.63
hexanoate,Plantibacter sp. VKM Ac-1784,1.61,1.63
hexanoate,Okibacterium fritillariae,1.59,1.63
hexanoate,Sanguibacter keddieii,1.51,1.63
hexanoate,Agreia bicolorata,1.51,1.63
hexanoate,Brevibacterium antiquum,1.49,1.63
hexanoate,Geodermatophilus obscurus,1.49,1.63
hexanoate,Bacteriovorax sp. BAL6 X,1.49,1.63
hexanoate,Subtercola sp. Z020,1.47,1.63
hexanoate,Paenibacillus polysaccharolyticus,1.46,1.63
hexanoate,Micromonospora avicenniae,1.44,1.63
hexanoate,Chloroflexi bacterium RBG 13 51 36,1.4,1.63
hexanoate,Sandaracinus amylolyticus,1.31,1.63
hexanoate,Saccharothrix espanaensis,1.3,1.63
hexanoate,Cellulomonas cellasea,1.28,1.63
hexanoate,Brachybacterium paraconglomeratum,1.25,1.63
hexanoate,Actinomycetospora chiangmaiensis,1.24,1.63
hexanoate,Nesterenkonia alba,1.15,1.63
hexanoate,Rothia mucilaginosa,1.11,1.63
hexanoate,Psychromonas aquimarina,1.08,1.63
hexanoate,Chlamydiales bacterium SCGC AG-110-P3,1,1.63
hexanoate,Virgibacillus salinus,0.99,1.63
hexanoate,Desulfobacter curvatus,0.96,1.63
hexanoate,Isoptericola variabilis,0.95,1.63
hexanoate,Cephaloticoccus capnophilus,0.89,1.63
