rep1,,,,,rep2,,,
org,max_slope,r2,intercept,,org,max_slope,r2,intercept
Actinomycetospora chiangmaiensis,0.022579605,0.900164313,-4.643839614,,Actinomycetospora chiangmaiensis,0.083272364,0.966895768,-0.606202764
Agrococcus casei,0.117665829,0.987257395,-7.669521654,,Actinoplanes atraurantiacus,0.393923294,0.996439841,-0.053071712
Allokutzneria albata,0.08899153,0.987805965,-4.548670928,,Agrococcus casei,0.089191454,0.964346364,-1.40785306
Anaerocolumna xylanovorans,0.134645512,0.988373913,-0.328848646,,Arenimonas oryziterrae,0.2018117,0.993065752,2.211388944
Arenimonas oryziterrae,0.222197705,0.964285665,3.242034894,,Arthrobacter globiformis,0.219118848,0.99474264,0.285801798
Arthrobacter globiformis,0.435669427,0.999082237,1.308037766,,Auraticoccus monumenti,0.479221202,0.989814732,-0.116321199
Bacteriovorax sp. BAL6 X,0.243765276,0.996543227,-0.127191485,,Bacteroides luti,0.272998318,0.994247425,-0.813370902
Brachybacterium alimentarium,0.05215349,0.934459148,-4.132867355,,Brachybacterium paraconglomeratum,0.292601083,0.996489571,0.642470086
Brevibacterium mcbrellneri,0.018598937,0.943682261,-1.667372418,,Brevibacterium mcbrellneri,0.096978545,0.963042705,-1.544682308
Cephaloticoccus capnophilus,0.059979887,0.989192925,-1.399625683,,Cephaloticoccus capnophilus,0.07994147,0.938039328,-1.768354878
Chloroflexi bacterium RBG 13 51 36,0.039356881,0.955741,-1.453203516,,Chlamydiales bacterium SCGC AG-110-P3,0.20818091,0.992442609,-0.221799527
Citricoccus muralis,0.046171244,0.960166436,-0.153167026,,Chromatocurvus halotolerans,0.278489793,0.998294769,2.645057912
Clavibacter michiganensis,0.118115622,0.997743269,1.055726425,,Clostridium combesii,0.187790434,0.985995743,-0.78454066
Clostridium combesii,0.099111871,0.994278045,-0.848966694,,Dermabacter hominis,0.127226669,0.969210187,0.800019899
Dermabacter hominis,0.568785643,0.995429587,2.261823663,,Desulfobacter curvatus,0.157384768,0.998209911,-1.362615911
Desulfobacter curvatus,0.086899993,0.98065054,-1.553589801,,Desulfobulbus elongatus,0.065627625,0.927793017,-1.715758253
Desulfobulbus elongatus,0.038254888,0.933697015,-2.796375148,,Enhygromyxa salina,0.025926963,0.959574263,1.350255173
Frankiales bacterium YIM 75000,0.244080131,0.93178115,-3.632997485,,Frankiales bacterium YIM 75000,0.060833838,0.959275168,-0.02226844
Geodermatophilus obscurus,0.102620256,0.995500407,1.212929052,,Geodermatophilus obscurus,0.156169442,0.993809983,1.007563138
Granulosicoccus antarcticus,0.814170173,0.998908117,0.990708857,,Granulosicoccus antarcticus,0.250312225,0.995118571,-0.289700263
Isoptericola variabilis,0.019296116,0.910110359,-1.551453284,,Halobacteriovorax marinus,0.160535614,0.994553069,0.102212492
Kocuria flava,0.065107526,0.989684763,1.209083322,,Intrasporangiaceae bacterium URHB0013,0.314386934,0.995413214,-1.639995405
Kytococcus sedentarius,1.571711417,0.901333822,8.127685642,,Isoptericola variabilis,0.092927457,0.984554411,-1.081507915
Legionella brunensis,0.057730922,0.993485407,0.340780571,,Kineosphaera limosa,0.080436603,0.976721261,1.140183755
Mobilicoccus massiliensis,0.494659769,0.993275071,-0.495856759,,Kytococcus sedentarius,1.128070461,0.902318912,7.780262052
Mycolicibacterium obuense,0.113280348,0.91421378,-5.580158553,,Luteimonas tolerans,0.360974445,0.9948496,0.081154336
Nakamurella multipartita,0.057101212,0.989495354,1.319732382,,Micromonospora avicenniae,0.1723963,0.990763438,-0.84251623
Nesterenkonia alba,0.053885192,0.987552868,0.737093117,,Mobilicoccus massiliensis,0.331581551,0.993942527,-0.607313062
Nonomuraea candida,0.1735526,0.995447524,-0.233177691,,Nakamurella multipartita,0.146401818,0.981097888,0.829007684
Paenibacillus polysaccharolyticus,0.055706854,0.972846781,0.295576382,,Nonomuraea candida,0.055049784,0.978599507,-1.039916745
Pelobacter propionicus DSM 2379,0.165074003,0.997969567,-1.49259788,,Paenibacillus polysaccharolyticus,0.086850825,0.967344563,-0.32294169
,,,,,Pelobacter propionicus DSM 2379,0.02639959,0.945119777,-1.811386435
