org,max_slope,r2,intercept
Bacteroides luti,0.586954831,0.913666324,-11.68215062
Nonomuraea candida,0.570364156,0.932489292,-11.31197318
Legionella brunensis,0.538372973,0.929687742,-11.33399324
Micromonospora peucetia,0.535618475,0.927978695,-9.126657287
Actinoplanes atraurantiacus,0.467201843,0.92534724,-9.466228756
Allokutzneria albata,0.462453121,0.955507825,-9.517728313
Streptomyces avermitilis,0.422783575,0.919728727,-9.276988385
Paenibacillus polysaccharolyticus,0.404330032,0.957806481,-4.713509905
Granulosicoccus antarcticus,0.369640077,0.916903439,-6.096825092
Halobacteriovorax marinus,0.368338458,0.925908539,-7.250545718
Rothia mucilaginosa,0.358228017,0.961133567,-7.274595828
Dermatophilus congolensis,0.356731354,0.911866116,-9.90873167
XC,0.348205148,0.912259338,-8.363195667
Silanimonas lenta,0.317125496,0.927666238,-8.009163084
Isoptericola variabilis,0.286264771,0.96798999,-4.553530103
Bacillus sp. 7586-K,0.276663833,0.919752959,-4.443859692
Actinomycetospora chiangmaiensis,0.254062621,0.982358865,-4.709099524
Xanthomonas translucens,0.23570859,0.951443905,-3.640816097
Mycolicibacterium obuense,0.228921858,0.939193178,-5.815719033
Agrococcus casei,0.226836082,0.945038154,-4.158000931
Psychromonas aquimarina,0.205520568,0.972137209,-4.355751585
Subtercola sp. Z020,0.202495396,0.92276729,-4.838393742
Plantibacter sp. VKM Ac-1784,0.201731143,0.963050621,-4.467444084
Clavibacter michiganensis,0.20081165,0.939597064,-4.887819464
Leifsonia sp. Leaf325,0.187078966,0.929413545,-4.685292224
Micromonospora avicenniae,0.151258552,0.910152918,-3.584492189
Brachybacterium alimentarium,0.130715253,0.978766254,-3.390570764
Streptococcus pneumoniae,0.124290745,0.979200337,-2.991916908
Kocuria flava,0.106836304,0.962853714,-3.169048633
Brevibacterium mcbrellneri,0.059934211,0.949513657,-2.955316319
